iter	Passed	Remaining
754	1194	387
755	1195	385
756	1197	384
757	1198	382
758	1200	381
759	1201	379
760	1202	377
761	1204	376
762	1206	374
763	1208	373
764	1209	371
765	1210	369
766	1212	368
767	1213	366
768	1214	364
769	1216	363
770	1217	361
771	1218	359
772	1219	358
773	1220	356
774	1221	354
775	1222	352
776	1223	351
777	1225	349
778	1226	347
779	1227	346
780	1228	344
781	1230	342
782	1231	341
783	1232	339
784	1233	337
785	1234	336
786	1235	334
787	1236	332
788	1237	330
789	1238	329
790	1239	327
791	1240	325
792	1242	324
793	1243	322
794	1245	321
795	1246	319
796	1247	317
797	1248	316
798	1249	314
799	1250	312
800	1251	311
801	1252	309
802	1253	307
803	1254	305
804	1255	304
805	1256	302
806	1258	301
807	1259	299
808	1260	297
809	1262	296
810	1263	294
811	1265	292
812	1267	291
813	1268	289
814	1269	288
815	1270	286
816	1271	284
817	1273	283
818	1274	281
819	1275	280
820	1276	278
821	1277	276
822	1278	274
823	1279	273
824	1280	271
825	1281	269
826	1282	268
827	1283	266
828	1284	264
829	1285	263
830	1286	261
831	1287	259
832	1288	258
833	1289	256
834	1290	255
835	1291	253
836	1292	251
837	1293	250
838	1294	248
839	1295	246
840	1296	245
841	1297	243
842	1298	241
843	1299	240
844	1300	238
845	1300	236
846	1301	235
847	1303	233
848	1304	232
849	1305	230
850	1306	228
851	1307	227
852	1308	225
853	1309	223
854	1310	222
855	1311	220
856	1312	218
857	1312	217
858	1313	215
859	1314	214
860	1315	212
861	1316	210
862	1317	209
863	1319	207
864	1320	206
865	1321	204
866	1322	202
867	1323	201
868	1324	199
869	1325	198
870	1326	196
871	1327	194
872	1328	193
873	1329	191
874	1330	190
875	1331	188
876	1332	186
877	1334	185
878	1335	183
879	1336	182
880	1336	180
881	1337	178
882	1338	177
883	1339	175
884	1340	174
885	1341	172
886	1342	170
887	1343	169
888	1343	167
889	1344	166
890	1345	164
891	1346	163
892	1347	161
893	1349	159
894	1350	158
895	1351	156
896	1352	155
897	1353	153
898	1354	152
899	1355	150
900	1356	149
901	1357	147
902	1358	145
903	1359	144
904	1360	142
905	1361	141
906	1362	139
907	1363	138
908	1365	136
909	1366	135
910	1366	133
911	1367	131
912	1369	130
913	1369	128
914	1370	127
915	1371	125
916	1372	124
917	1374	122
918	1375	121
919	1376	119
920	1377	118
921	1378	116
922	1379	115
923	1381	113
924	1382	112
925	1383	110
926	1384	109
927	1385	107
928	1386	105
929	1387	104
930	1389	102
931	1390	101
932	1391	99
933	1393	98
934	1394	96
935	1395	95
936	1397	93
937	1399	92
938	1400	90
939	1401	89
940	1402	87
941	1404	86
942	1405	84
943	1407	83
944	1408	81
945	1409	80
946	1411	79
947	1412	77
948	1414	75
949	1415	74
950	1416	72
951	1418	71
952	1419	69
953	1420	68
954	1421	66
955	1423	65
956	1425	64
957	1426	62
958	1427	61
959	1429	59
960	1431	58
961	1433	56
962	1434	55
963	1436	53
964	1437	52
965	1438	50
966	1439	49
967	1441	47
968	1442	46
969	1443	44
970	1444	43
971	1445	41
972	1447	40
973	1448	38
974	1449	37
975	1450	35
976	1451	34
977	1452	32
978	1454	31
979	1456	29
980	1458	28
981	1460	26
982	1461	25
983	1462	23
984	1463	22
985	1464	20
986	1466	19
987	1467	17
988	1468	16
989	1470	14
990	1473	13
991	1474	11
992	1475	10
993	1476	8
994	1479	7
995	1480	5
996	1481	4
997	1482	2
998	1483	1
999	1487	0
